country,year,GDP_constant,population,GDP_kg_per_pop
South Africa,1998,250234000000,43682259,5728504.105064713
South Africa,1999,256239000000,44338551,5779146.909875336
South Africa,2000,267001000000,44967713,5937615.728867509
South Africa,2001,274210000000,45571272,6017168.008828018
South Africa,2002,284357000000,46150913,6161459.904379357
South Africa,2003,292743000000,46719203,6266010.14576383
South Africa,2004,306076000000,47291610,6472099.3850706285
South Africa,2005,322228000000,47880595,6729824.472732638
South Africa,2006,340285000000,48489464,7017710.074089497
South Africa,2007,358526000000,49119766,7299016.856065641
South Africa,2008,369967000000,49779472,7432119.81035074
South Africa,2009,364276000000,50477013,7216671.0815475555
South Africa,2010,375349000000,51216967,7328606.553371269
South Africa,2011,387677000000,52003759,7454788.02791929
South Africa,2012,396257000000,52832659,7500228.220578487
South Africa,2013,406105000000,53687125,7564290.321003406
South Africa,2014,413606000000,54544184,7582953.29892551
South Africa,2015,418543000000,55386369,7556787.122116635
South Africa,2016,420213000000,56207649,7476082.1254060995
South Africa,2017,426157000000,57009751,7475159.81958946
South Africa,2018,429511000000,57792520,7431947.940667755
