Country,Ano,CO2_kg_per_ppp_US
Germany,2013,0.3395119915250789
Germany,2014,0.3306761560436594
Germany,2015,0.32252563879417784
Germany,2016,0.31411326279558566
Germany,2017,0.3055732332708158
Germany,2018,0.29701923335138314
European Union,1990,0.5730752017811608
European Union,1991,0.5563650527010866
European Union,1992,0.5389510797527017
European Union,1993,0.5256841111643145
European Union,1994,0.5123792917187666
European Union,1995,0.5007188544374346
European Union,1996,0.49201013301425695
European Union,1997,0.4816501768219456
European Union,1998,0.47087573515447223
European Union,1999,0.45968847512357847
European Union,2000,0.4478294762120227
European Union,2001,0.43671812764519913
European Union,2002,0.42579480547216864
European Union,2003,0.4167503513173557
European Union,2004,0.4075209745921311
European Union,2005,0.39831246919763724
European Union,2006,0.387920741263222
European Union,2007,0.37687065331735425
European Union,2008,0.3656315374817548
European Union,2009,0.35523140933321207
European Union,2010,0.34585178114965387
European Union,2011,0.33624168443149083
European Union,2012,0.3272965233029479
European Union,2013,0.3184584264668756
European Union,2014,0.30958131871209293
European Union,2015,0.30135290052140523
European Union,2016,0.29301923388732803
European Union,2017,0.2848435771629616
European Union,2018,0.2766822427746858
France,1990,0.34768526646202447
France,1991,0.3516101536995796
France,1992,0.34452251656586697
France,1993,0.33517059355767
France,1994,0.32570368737529454
France,1995,0.31835386092751194
France,1996,0.3137056826380063
France,1997,0.30739106627955054
France,1998,0.3026597294754485
France,1999,0.29693669338379647
France,2000,0.2897893423951315
France,2001,0.2825638192337952
France,2002,0.2752175632301046
France,2003,0.26968650674454264
France,2004,0.2642648357649112
France,2005,0.2586296187168801
France,2006,0.2521120313399316
France,2007,0.24518890804192534
France,2008,0.2385055265486908
France,2009,0.23242605198804914
France,2010,0.22666518028371285
France,2011,0.22057956685614274
France,2012,0.21518156346283215
France,2013,0.20975432151641615
France,2014,0.20399299834739987
France,2015,0.1987761760231693
France,2016,0.19360708945374627
France,2017,0.18864425050136838
France,2018,0.18363030755435458
United Kingdom,1990,0.5722982575977833
United Kingdom,1991,0.5728941781807498
United Kingdom,1992,0.5621524308491843
United Kingdom,1993,0.5469242344742744
United Kingdom,1994,0.5303411565449113
United Kingdom,1995,0.5136418973502019
United Kingdom,1996,0.4996066412190157
United Kingdom,1997,0.48311348017011413
United Kingdom,1998,0.4692986405132854
United Kingdom,1999,0.45660903739717273
United Kingdom,2000,0.44311933298719763
United Kingdom,2001,0.4309957680861095
United Kingdom,2002,0.4183394117873152
United Kingdom,2003,0.4068841078017626
United Kingdom,2004,0.39532518791932364
United Kingdom,2005,0.3847240272938775
United Kingdom,2006,0.37372890733519026
United Kingdom,2007,0.36307283336370544
United Kingdom,2008,0.3524434586556183
United Kingdom,2009,0.34268288043104994
United Kingdom,2010,0.33363593914013284
United Kingdom,2011,0.3241345907167907
United Kingdom,2012,0.3156672611340944
United Kingdom,2013,0.30695759668259015
United Kingdom,2014,0.29766319694781346
United Kingdom,2015,0.28847645165079416
United Kingdom,2016,0.2791790130198314
United Kingdom,2017,0.2700272123091688
United Kingdom,2018,0.2612127008406335
Indonesia,1990,0.26467856150810676
Indonesia,1991,0.263209197091868
Indonesia,1992,0.2598214345900368
Indonesia,1993,0.25781189595527326
Indonesia,1994,0.2546030976796517
Indonesia,1995,0.25369015581460047
Indonesia,1996,0.25110781621984024
Indonesia,1997,0.2504987369213988
Indonesia,1998,0.2549285266965116
Indonesia,1999,0.2598999107540836
Indonesia,2000,0.26201750014874686
Indonesia,2001,0.26430429799947186
Indonesia,2002,0.2649989671826854
Indonesia,2003,0.2662977545042544
Indonesia,2004,0.2661047285076682
Indonesia,2005,0.26399290699348954
Indonesia,2006,0.2614915081040586
Indonesia,2007,0.2582820227760559
Indonesia,2008,0.25376089111595
Indonesia,2009,0.24965266397004854
Indonesia,2010,0.24567247316031748
Indonesia,2011,0.2431337455875836
Indonesia,2012,0.23967353506757108
Indonesia,2013,0.23479968875530943
Indonesia,2014,0.2311113765889492
Indonesia,2015,0.22781374942753188
Indonesia,2016,0.22451058652457584
Indonesia,2017,0.2217519455395675
Indonesia,2018,0.21937505072317284
India,1990,0.5360064227695075
India,1991,0.5451840785951105
India,1992,0.5408020206960189
India,1993,0.533523821318348
India,1994,0.5252913324078806
India,1995,0.5178153932619218
India,1996,0.5086569475726024
India,1997,0.5019430611092991
India,1998,0.49348652035825974
India,1999,0.4850814524001921
