country,year,GHG_per_POP
Argentina,1990,7.450646023096972
Argentina,1991,7.497505517246258
Argentina,1992,7.5280381469114195
Argentina,1993,7.504245718654429
Argentina,1994,7.557553165424461
Argentina,1995,7.481875015648254
Argentina,1996,7.731291296444208
Argentina,1997,7.6954491234058935
Argentina,1998,7.721945412267949
Argentina,1999,7.76505627602303
Argentina,2000,7.718574885120462
Argentina,2001,7.439978770051565
Argentina,2002,7.275406554309337
Argentina,2003,7.764677600997651
Argentina,2004,8.079347458703724
Argentina,2005,8.113815253386452
Argentina,2006,8.402164465981008
Argentina,2007,8.657075317664015
Argentina,2008,8.67286978577106
Argentina,2009,8.116289229698767
Argentina,2010,8.203056879847834
Argentina,2011,8.356460224776178
Argentina,2012,8.361194596991929
Argentina,2013,8.48708745019748
Argentina,2014,8.34553955401399
Argentina,2015,8.40583060832423
Argentina,2016,8.40483842669096
Argentina,2017,8.339688414147128
Argentina,2018,8.217869254947498
Australia,1990,29.523413282078632
Australia,1991,29.14487387178894
Australia,1992,28.917404972849386
Australia,1993,28.617761929020208
Australia,1994,28.488938672640717
Australia,1995,28.59451084550686
Australia,1996,28.098956911146306
Australia,1997,28.230274882540368
Australia,1998,29.42493720271498
Australia,1999,30.83641551305083
Australia,2000,31.755338589254947
Australia,2001,32.66367897800443
Australia,2002,31.91019469350784
Australia,2003,27.479216301255565
Australia,2004,30.077406917932766
Australia,2005,27.868868535116796
Australia,2006,29.55372284144768
Australia,2007,29.527646008181453
Australia,2008,27.63680515031154
Australia,2009,27.70967697322017
Australia,2010,25.92712789496976
Australia,2011,30.131122509089515
Australia,2012,29.512878921009182
Australia,2013,25.15940653911088
Australia,2014,25.281476332576606
Australia,2015,24.965574606477706
Australia,2016,23.70270779843021
Australia,2017,25.192810624887713
Australia,2018,24.63225734556666
Brazil,1990,3.986155333215103
Brazil,1991,4.096460034585221
Brazil,1992,4.091485339932192
Brazil,1993,4.089026059099892
Brazil,1994,4.125188432936259
Brazil,1995,4.183066685103086
Brazil,1996,4.1622654290338454
Brazil,1997,4.2646616140612394
Brazil,1998,4.335123263031567
Brazil,1999,4.364413806944684
Brazil,2000,4.380104783708898
Brazil,2001,4.494174647266829
Brazil,2002,4.585225340331782
Brazil,2003,4.605871415427039
Brazil,2004,4.801243982283907
Brazil,2005,4.775929790946948
Brazil,2006,4.713410620172778
Brazil,2007,4.792709552644238
Brazil,2008,4.813717947373343
Brazil,2009,4.670206417924755
Brazil,2010,5.040221085871497
Brazil,2011,5.087422905233089
Brazil,2012,5.228833156105107
Brazil,2013,5.326660455636819
Brazil,2014,5.454130892355193
Brazil,2015,5.295107770848688
Brazil,2016,5.101253446689304
Brazil,2017,5.123901270642543
Brazil,2018,4.929791150322157
Canada,1990,20.217298400665225
Canada,1991,19.82243729986568
Canada,1992,20.15067076320604
Canada,1993,19.861414930936856
Canada,1994,20.354707063076454
Canada,1995,20.672772191927113
Canada,1996,21.1457409736058
Canada,1997,21.452254247215304
Canada,1998,21.55749529276453
Canada,1999,21.505669200967354
Canada,2000,21.89160890094516
Canada,2001,21.30498977753774
Canada,2002,21.667037254593648
Canada,2003,22.070831184955342
Canada,2004,21.706192311961043
Canada,2005,21.867181528155236
Canada,2006,21.2150780932858
Canada,2007,21.969030702491178
Canada,2008,21.000015700608994
Canada,2009,19.6560130804179
Canada,2010,19.82656082188652
Canada,2011,20.086589929773815
Canada,2012,19.99785563392433
Canada,2013,20.107200779045005
Canada,2014,20.100495422425467
Canada,2015,19.828356838608215
Canada,2016,19.252558198902133
Canada,2017,19.410706631318753
Canada,2018,19.558249524661665
Chile,1990,3.5797642975311454
Chile,1991,3.4671445630334516
Chile,1992,3.580951292502568
Chile,1993,3.62066969983508
Chile,1994,3.81326278491292
Chile,1995,3.9969782065945414
Chile,1996,4.379131614361934
Chile,1997,4.805823689843257
Chile,1998,4.829167772752838
Chile,1999,4.954229762693582
Chile,2000,4.658999436201103
Chile,2001,4.468258543119565
Chile,2002,4.466217511614875
Chile,2003,4.474547038865025
Chile,2004,4.761169735420081
Chile,2005,4.746422926736697
Chile,2006,4.780333641362592
Chile,2007,5.225586791110405
Chile,2008,5.441621521816611
Chile,2009,5.232087960192782
Chile,2010,5.460502899599128
Chile,2011,5.780573559162157
Chile,2012,5.85620101286416
Chile,2013,5.974443518260895
Chile,2014,5.555502687121082
Chile,2015,5.7887439037882045
Chile,2016,5.939347156186762
Chile,2017,5.92027204556904
Chile,2018,5.851301654328869
Germany,1990,14.60614072768143
Germany,1991,14.130295567659898
Germany,1992,13.431756893845225
Germany,1993,13.248868730108075
Germany,1994,13.04483730441094
Germany,1995,12.925504307148563
Germany,1996,13.23179193276978
Germany,1997,12.749349906760878
Germany,1998,12.427115881292467
Germany,1999,11.99972087780544
Germany,2000,11.869749427294291
Germany,2001,12.037898030872523
Germany,2002,11.794735738602093
Germany,2003,11.775727911792563
Germany,2004,11.538453148506731
Germany,2005,11.249139105158273
Germany,2006,11.34061966325789
Germany,2007,11.00243000870392
Germany,2008,11.055887560332563
Germany,2009,10.386032227395011
Germany,2010,10.776878026602368
Germany,2011,10.620369735861546
Germany,2012,10.776016553787706
Germany,2013,10.960547695066582
Germany,2014,10.417806316179421
Germany,2015,10.374527595470939
Germany,2016,10.32402843086632
Germany,2017,10.073556744775235
Germany,2018,9.722964798763975
European Union,1990,10.833480017583511
European Union,1991,10.618558030848703
European Union,1992,10.246974038374765
European Union,1993,10.041402444887712
European Union,1994,9.977453503277767
European Union,1995,10.076832900396026
European Union,1996,10.312303514454749
European Union,1997,10.114538390744583
European Union,1998,10.006309898949374
European Union,1999,9.818721891960777
European Union,2000,9.803679010247773
European Union,2001,9.897448875660581
European Union,2002,9.830372401283269
European Union,2003,9.99845213843786
European Union,2004,9.95327060041004
European Union,2005,9.84496719812418
European Union,2006,9.801599913335997
European Union,2007,9.686444973136798
European Union,2008,9.447352509535435
European Union,2009,8.802910635944137
European Union,2010,8.97059845538181
European Union,2011,8.734058532615409
European Union,2012,8.582317331117618
European Union,2013,8.388036373194373
European Union,2014,8.038339707560143
European Union,2015,8.146689522429266
European Union,2016,8.131177933901794
European Union,2017,8.148277169146173
European Union,2018,7.981582847031624
France,1990,8.633018266659587
France,1991,9.008644552141146
France,1992,8.713498800092763
France,1993,8.357927531738419
France,1994,8.230120416941977
France,1995,8.347230548757729
France,1996,8.631686777061507
France,1997,8.435609793412109
France,1998,8.671078613193664
France,1999,8.454674922146177
France,2000,8.349025241124563
France,2001,8.367038568367724
France,2002,8.18425407310762
France,2003,8.20469089184524
France,2004,8.108457104493315
France,2005,8.057537022061446
France,2006,7.839975042350546
France,2007,7.679615357524898
France,2008,7.539419935189416
France,2009,7.217916877198901
France,2010,7.239859502528969
France,2011,6.940475099708401
France,2012,6.949760777573936
France,2013,6.928168341535896
France,2014,6.39597013315842
France,2015,6.463578798860473
France,2016,6.444747463375454
France,2017,6.461338814268563
France,2018,6.309058472684765
United Kingdom,1990,13.22937878987596
United Kingdom,1991,13.454094658628645
United Kingdom,1992,13.033427588782725
United Kingdom,1993,12.709418143685848
United Kingdom,1994,12.48925422112858
United Kingdom,1995,12.297861580933015
United Kingdom,1996,12.612488707075066
United Kingdom,1997,12.209656903548153
United Kingdom,1998,12.111722130510705
United Kingdom,1999,11.625448732846367
United Kingdom,2000,11.62847284800917
United Kingdom,2001,11.765795795250762
United Kingdom,2002,11.416111364033293
United Kingdom,2003,11.491330150762034
United Kingdom,2004,11.34862102618853
United Kingdom,2005,11.172955718798065
United Kingdom,2006,11.043469486162136
United Kingdom,2007,10.705375614153006
United Kingdom,2008,10.298510710640437
United Kingdom,2009,9.340475914822774
United Kingdom,2010,9.472589339847863
United Kingdom,2011,8.725108803026805
United Kingdom,2012,9.001696462092005
United Kingdom,2013,8.649383088797666
United Kingdom,2014,7.953277451523474
